nutsid,region,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
UKL22,Cardiff and Vale of Glamorgan,C34M,"5,283","5,592","6,045","6,556","6,826","7,162","7,914","8,404","8,745","9,165","10,215","10,071","9,878","9,824","10,461","10,573","11,007"
UKL23,Flintshire and Wrexham,C34N,"3,431","3,413","3,382","3,662","3,630","3,773","3,928","4,172","4,406","4,833","4,857","4,650","4,826","4,905","5,327","5,466","5,625"
UKL24,Powys,C34O,"1,235","1,299","1,258","1,281","1,370","1,529","1,675","1,794","1,720","1,756","1,937","1,820","1,703","1,773","1,882","2,013","1,969"
UKM,Scotland,TMQH,"63,810","66,506","66,071","69,726","74,280","77,940","82,863","88,038","92,866","99,551","103,028","108,130","108,660","108,344","111,535","113,819","117,116"
UKM2,Eastern Scotland,AEP3,"24,343","25,653","25,281","27,094","28,589","30,649","32,591","34,826","35,751","39,086","40,964","41,668","42,424","41,811","42,423","43,935","45,203"
UKM21,Angus and Dundee City,C34Q,"3,072","3,135","3,188","3,238","3,293","3,517","3,737","3,895","3,972","4,292","4,468","4,618","4,537","4,711","4,692","4,765","4,901"
UKM22,Clackmannanshire and Fife,C34R,"3,789","3,807","3,855","4,310","4,394","4,567","4,899","5,076","4,983","5,579","5,891","6,052","6,036","5,987","5,897","5,977","6,302"
UKM23,East Lothian and Midlothian,C34S,"1,426","1,509","1,503","1,577","1,631","1,752","1,897","2,033","2,020","2,370","2,341","2,412","2,315","2,288","2,405","2,417","2,636"
UKM24,Scottish Borders,C34T,980,994,"1,140","1,109","1,175","1,197","1,229","1,348","1,353","1,490","1,543","1,628","1,537","1,614","1,686","1,722","1,749"
UKM25,"Edinburgh, City of",C34U,"8,433","9,278","8,799","9,879","10,789","11,945","12,706","13,490","14,216","15,433","16,416","16,376","17,443","16,622","17,234","18,070","18,590"
UKM26,Falkirk,C34V,"1,759","1,782","1,660","1,722","1,774","1,963","2,013","2,396","2,463","2,728","2,721","2,749","2,587","2,587","2,452","2,538","2,594"
UKM27,Perth & Kinross and Stirling,C34W,"2,790","2,914","2,839","2,873","2,973","3,143","3,289","3,586","3,744","4,051","4,308","4,354","4,627","4,593","4,546","4,892","4,947"
UKM28,West Lothian,C34X,"2,094","2,232","2,297","2,387","2,560","2,566","2,823","3,002","2,999","3,143","3,277","3,479","3,342","3,410","3,510","3,556","3,484"
UKM3,South Western Scotland,AEP4,"26,908","28,289","28,556","29,308","31,365","32,122","34,314","36,285","39,394","41,286","41,861","43,768","43,813","43,357","44,338","44,499","45,871"
UKM31,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",C34Y,"1,831","1,940","1,899","2,084","2,077","2,201","2,423","2,308","2,418","2,724","2,860","3,000","2,878","2,850","2,951","2,959","3,010"
UKM32,Dumfries & Galloway,C34Z,"1,484","1,490","1,616","1,533","1,747","1,756","1,743","1,886","1,956","2,148","2,219","2,211","2,214","2,290","2,380","2,297","2,329"
UKM33,East Ayrshire and North Ayrshire mainland,C352,"2,483","2,511","2,466","2,439","2,583","2,513","2,650","2,794","3,007","3,111","3,018","3,058","3,047","3,158","3,127","3,133","3,106"
UKM34,Glasgow City,C353,"10,114","10,754","10,975","11,247","12,141","12,489","13,558","14,556","16,035","16,252","16,590","17,828","18,229","17,660","18,386","18,786","19,256"
UKM35,"Inverclyde, East Renfrewshire and Renfrewshire",C354,"4,108","4,292","4,009","4,129","4,409","4,548","4,737","4,820","5,182","5,390","5,397","5,670","5,503","5,571","5,557","5,281","5,499"
UKM36,North Lanarkshire,C355,"2,520","2,705","2,882","2,976","3,245","3,499","3,682","3,988","4,432","4,789","5,020","5,100","5,121","5,112","5,116","5,207","5,403"
UKM37,South Ayrshire,C356,"1,308","1,353","1,415","1,465","1,515","1,523","1,524","1,693","1,756","1,897","1,929","2,101","2,039","2,134","2,062","2,065","2,149"
UKM38,South Lanarkshire,C357,"3,060","3,244","3,296","3,434","3,648","3,593","3,995","4,239","4,608","4,973","4,827","4,800","4,781","4,583","4,760","4,771","5,120"
UKM5,North Eastern Scotland,AEP2,"8,239","7,974","7,356","8,337","9,081","9,713","10,053","10,370","10,772","12,031","12,899","14,819","14,594","15,199","16,435","17,174","17,573"
UKM50,Aberdeen City and Aberdeenshire,C34P,"8,239","7,974","7,356","8,337","9,081","9,713","10,053","10,370","10,772","12,031","12,899","14,819","14,594","15,199","16,435","17,174","17,573"
UKM6,Highlands and Islands,AEP5,"4,321","4,590","4,877","4,988","5,245","5,457","5,905","6,557","6,949","7,148","7,303","7,876","7,829","7,978","8,340","8,211","8,469"
UKM61,Caithness & Sutherland and Ross & Cromarty,C358,769,778,821,873,902,911,"1,015","1,166","1,159","1,219","1,311","1,376","1,265","1,348","1,339","1,281","1,319"
UKM62,"Inverness & Nairn and Moray, Badenoch & Strathspey",C359,"1,787","1,968","2,011","2,076","2,298","2,491","2,673","2,892","3,192","3,234","3,347","3,622","3,690","3,714","3,987","3,927","4,049"
UKM63,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",C35A,995,"1,048","1,167","1,216","1,198","1,137","1,262","1,381","1,448","1,568","1,487","1,693","1,679","1,677","1,749","1,730","1,775"
UKM64,Eilean Siar (Western Isles),C35B,241,244,307,269,274,287,333,392,396,412,407,412,411,387,415,419,418
UKM65,Orkney Islands,C35C,202,213,240,233,230,264,245,287,298,288,306,312,324,350,354,367,385
UKM66,Shetland Islands,C35D,327,339,332,321,342,366,377,439,456,427,446,461,460,501,496,487,524
UKN,Northern Ireland,TMQI,"17,548","18,105","19,247","20,889","21,427","22,057","24,673","25,712","27,241","29,175","31,285","31,180","30,830","31,444","31,961","32,444","32,841"
UKN0,Northern Ireland,TMQI,"17,548","18,105","19,247","20,889","21,427","22,057","24,673","25,712","27,241","29,175","31,285","31,180","30,830","31,444","31,961","32,444","32,841"
UKN01,Belfast,C35E,"4,941","5,247","5,539","6,038","6,252","6,421","7,272","7,334","7,792","8,233","9,281","9,275","9,343","9,546","9,803","9,966","10,298"
UKN02,Outer Belfast,C35F,"3,051","3,160","3,344","3,649","3,853","3,949","4,259","4,560","4,767","5,113","5,418","5,446","5,434","5,490","5,432","5,453","5,590"
UKN03,East of Northern Ireland,C35G,"4,181","4,187","4,521","4,859","4,823","4,899","5,501","5,833","6,165","6,638","6,853","6,884","6,692","6,601","6,731","6,894","6,814"
UKN04,North of Northern Ireland,C35H,"2,368","2,407","2,610","2,790","2,781","2,896","3,131","3,263","3,448","3,745","3,954","3,927","3,886","3,959","3,943","4,000","4,031"
UKN05,West and South of Northern Ireland,C4KI,"3,007","3,103","3,234","3,553","3,718","3,893","4,510","4,722","5,069","5,446","5,779","5,647","5,475","5,851","6,053","6,131","6,107"
,United Kingdom less Extra-Regio4 & statistical discrepancy,TMPV,"772,977","812,678","843,242","890,517","928,986","980,514","1,047,343","1,103,536","1,165,723","1,231,407","1,301,168","1,337,823","1,321,272","1,374,690","1,413,309","1,452,264","1,499,693"
UKZZZ,Extra-Regio4,DDQZ,"14,408","12,563","13,670","20,596","19,207","18,499","18,931","19,701","23,449","27,677","26,776","30,894","23,774","25,994","28,289","23,684","23,107"
