nutsid,region,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
UKE12,East Riding of Yorkshire,C329,"3,006","3,066","2,938","3,098","3,361","3,775","4,067","4,359","4,374","4,633","4,820","4,890","5,036","5,176","4,893","5,061","5,132"
UKE13,North and North East Lincolnshire,C32A,"4,121","4,209","3,852","3,796","3,977","4,324","4,656","4,953","5,289","5,568","6,280","6,161","6,343","6,327","6,147","6,102","6,349"
UKE2,North Yorkshire,AEM2,"8,840","9,037","9,298","9,822","10,310","11,511","12,327","13,006","13,277","13,925","14,957","14,845","14,498","15,115","15,520","15,994","16,554"
UKE21,York,C32B,"2,641","2,722","2,792","2,932","3,108","3,448","3,705","4,025","3,943","4,047","4,412","4,249","4,246","4,295","4,428","4,617","4,754"
UKE22,North Yorkshire CC,C32C,"6,199","6,315","6,506","6,890","7,202","8,063","8,622","8,981","9,334","9,878","10,545","10,597","10,252","10,820","11,092","11,377","11,800"
UKE3,South Yorkshire,AEM3,"11,938","12,820","12,588","13,136","13,921","15,289","16,351","17,718","18,478","19,555","21,192","20,431","20,583","21,512","21,479","21,968","22,560"
UKE31,"Barnsley, Doncaster and Rotherham",C32D,"6,124","6,507","6,354","6,748","7,035","7,805","8,535","9,299","9,591","10,275","11,175","10,532","10,433","10,983","10,973","11,046","11,360"
UKE32,Sheffield,C32E,"5,814","6,313","6,234","6,387","6,886","7,483","7,816","8,419","8,887","9,280","10,017","9,899","10,150","10,529","10,506","10,922","11,199"
UKE4,West Yorkshire,AEM4,"24,874","26,144","27,725","28,294","29,184","30,956","33,514","35,797","37,615","39,583","42,143","43,528","42,386","42,808","44,411","44,984","46,237"
UKE41,Bradford,C32F,"5,019","5,232","5,759","5,788","5,829","6,302","6,620","6,781","6,944","7,496","8,182","8,338","8,557","8,189","8,470","8,606","8,735"
UKE42,Leeds,C32G,"10,689","11,351","11,985","12,217","12,842","13,761","14,882","16,074","17,311","18,185","19,337","19,989","18,832","18,944","19,727","19,564","20,362"
UKE44,Calderdale and Kirklees,KT44,"5,896","6,144","6,345","6,534","6,695","6,911","7,626","8,234","8,541","8,855","9,303","9,623","9,471","9,858","10,262","10,551","10,669"
UKE45,Wakefield,KT45,"3,270","3,417","3,637","3,755","3,819","3,982","4,387","4,708","4,819","5,046","5,322","5,579","5,526","5,817","5,953","6,263","6,470"
UKF,East Midlands,TMPZ,"49,088","50,501","51,115","53,421","55,742","58,740","63,056","65,941","70,741","74,529","78,251","79,919","77,921","82,253","85,111","86,468","88,835"
UKF1,Derbyshire and Nottinghamshire,AEM5,"22,366","23,075","24,027","24,480","25,589","27,163","28,331","29,988","32,969","34,245","35,416","36,247","35,111","37,377","39,599","40,180","41,260"
UKF11,Derby,C32I,"3,386","3,488","3,925","3,918","4,032","4,351","4,409","4,609","5,192","5,251","5,569","5,721","5,517","5,981","6,451","6,680","7,002"
UKF12,East Derbyshire,C32J,"2,247","2,318","2,367","2,356","2,504","2,730","2,883","3,018","3,288","3,521","3,671","3,736","3,639","3,934","4,242","4,314","4,528"
UKF13,South and West Derbyshire,C32K,"4,917","5,001","5,254","4,989","5,270","5,502","5,919","6,471","6,861","7,256","7,291","7,420","6,757","7,525","8,089","8,244","8,427"
UKF14,Nottingham,C32L,"5,217","5,412","5,177","5,434","5,869","6,108","6,224","6,780","7,234","7,184","7,433","7,900","7,953","8,402","8,633","8,774","8,726"
UKF15,North Nottinghamshire,C32M,"3,937","4,147","4,326","4,560","4,621","4,962","5,243","5,469","6,083","6,450","6,820","6,844","6,607","6,904","7,471","7,383","7,552"
