,geoid,name,asciiname,altname,lat,long,feature_class,feature_code,country_code,cc2,adm1,adm2,adm3,adm4,pop,elev,delev,timezone,moddate,ls_altname
41,2633399,Yaxley,Yaxley,Yaxley,52.51768,-0.25852,P,PPL,GB,,ENG,C3,12UE,,7578,,23.0,Europe/London,2011-02-13,['Yaxley']
42,2633400,Yaxley,Yaxley,Yaxley,52.3228,1.11065,P,PPL,GB,,ENG,N5,42UE,,0,,47.0,Europe/London,2010-05-24,['Yaxley']
43,2633401,Yaxham,Yaxham,,52.65567,0.96598,P,PPL,GB,,ENG,I9,33UB,,0,,51.0,Europe/London,2010-05-24,
44,2633402,Yatton Keynell,Yatton Keynell,Yatton Keynell,51.48612,-2.19337,P,PPL,GB,,ENG,P8,00HY258,,0,,128.0,Europe/London,2011-03-03,['Yatton Keynell']
45,2633403,Yatton,Yatton,,51.96667,-2.53333,P,PPLA3,GB,,ENG,F7,00GA237,,0,,134.0,Europe/London,2014-08-02,
46,2633404,Yatton,Yatton,"Jatton,Yatton,Яттон",51.38839,-2.82353,P,PPLA3,GB,,ENG,J4,00HC037,,0,,11.0,Europe/London,2014-07-13,"['Jatton', 'Yatton', '\xd0\xaf\xd1\x82\xd1\x82\xd0\xbe\xd0\xbd']"
47,2633405,Yatesbury,Yatesbury,"Yatesbury,Yatsbury",51.44195,-1.90796,P,PPL,GB,,ENG,P8,00HY050,,0,,164.0,Europe/London,2011-03-03,"['Yatesbury', 'Yatsbury']"
48,2633406,Yate,Yate,,51.54074,-2.41839,P,PPL,GB,,ENG,M6,00HD044,,21789,,80.0,Europe/London,2012-03-26,
49,2633410,Yarrow,Yarrow,,55.51667,-3.05,P,PPL,GB,,SCT,T9,,,0,,225.0,Europe/London,2007-06-16,
50,2633411,Yarpole,Yarpole,Yarpole,52.27972,-2.78134,P,PPL,GB,,ENG,F7,00GA054,,0,,103.0,Europe/London,2011-03-03,['Yarpole']
51,2633412,Yarnton,Yarnton,Yarnton,51.80448,-1.31149,P,PPL,GB,,ENG,K2,38UB,,2579,,72.0,Europe/London,2015-07-15,['Yarnton']
